Date,Time,LocationDescription,Beat,District,Ward,CommunityArea,PrimaryType
03/19/2015 11:45:00 AM,,19,1122,11,27,23,3
03/15/2015 05:30:00 PM,,101,1231,12,2,28,3
03/19/2015 10:16:00 AM,,95,1111,11,28,23,3
02/19/2015 01:30:00 PM,,156,2532,25,37,25,33
03/19/2015 01:35:00 PM,,124,111,1,42,32,8
03/19/2015 03:00:00 AM,,159,422,4,7,46,33
03/19/2015 12:53:00 PM,,155,1234,12,25,31,2
03/19/2015 12:05:00 PM,,152,1723,17,39,14,3
01/01/2015 08:00:00 AM,,139,1622,16,45,11,23
03/09/2015 01:00:00 PM,,156,1833,18,42,8,33
03/19/2015 01:00:00 PM,,34,1434,14,32,22,33
03/19/2015 10:00:00 AM,,19,1414,14,35,22,3
01/26/2015 04:01:00 PM,,156,1833,18,42,8,33
01/23/2015 09:00:00 AM,,139,215,2,3,38,9
03/19/2015 11:45:00 AM,,141,631,6,8,44,8
03/19/2015 12:25:00 PM,,49,133,1,2,35,33
03/19/2015 12:30:00 PM,,139,912,9,12,59,7
03/19/2015 12:05:00 PM,,159,612,6,21,71,30
03/06/2015 05:38:00 PM,,155,733,7,17,68,19
03/19/2015 10:20:00 AM,,159,114,1,42,32,2
03/19/2015 12:10:00 PM,,103,2222,22,21,73,3
03/19/2015 10:40:00 AM,,139,732,7,6,68,19
03/19/2015 12:04:00 PM,,152,2232,22,21,73,3
03/19/2015 10:00:00 AM,,152,933,9,16,61,2
10/20/2014 08:00:00 AM,,139,815,8,14,57,9
03/13/2015 11:35:00 AM,,152,933,9,16,61,3
03/12/2015 08:00:00 AM,,139,824,8,16,66,9
03/19/2015 12:00:00 PM,,19,414,4,8,43,3
03/06/2015 12:38:00 PM,,19,1133,11,24,29,19
03/18/2015 09:00:00 PM,,139,1033,10,12,30,9
03/16/2015 12:00:00 PM,,159,1823,18,27,8,33
03/16/2015 08:30:00 AM,,129,1834,18,42,8,33
03/19/2015 12:00:00 PM,,139,823,8,13,65,3
03/19/2015 08:45:00 AM,,159,1512,15,29,25,7
03/19/2015 01:10:00 PM,,19,423,4,7,46,33
03/06/2015 01:40:00 PM,,155,1112,11,27,23,19
03/19/2015 11:05:00 AM,,155,224,2,3,38,3
03/18/2015 03:00:00 PM,,159,1223,12,2,28,18
03/15/2015 04:30:00 PM,,156,1931,19,32,7,33
03/19/2015 01:30:00 PM,,156,1834,18,42,8,33
03/19/2015 12:15:00 PM,,155,1135,11,28,29,3
03/19/2015 09:36:00 AM,,124,1833,18,42,8,33
03/19/2015 01:45:00 PM,,159,1814,18,43,7,33
03/05/2015 01:41:00 PM,,155,1132,11,24,29,19
03/05/2015 01:40:00 PM,,175,1132,11,24,29,19
03/19/2015 07:30:00 AM,,152,113,1,2,32,33
03/19/2015 01:01:00 PM,,155,1121,11,27,23,25
03/19/2015 12:30:00 PM,,152,2233,22,34,49,2
03/19/2015 09:30:00 AM,,159,133,1,3,35,2
03/09/2015 09:00:00 AM,,19,412,4,8,45,9
03/06/2015 01:50:00 PM,,175,1134,11,24,27,19
03/19/2015 01:31:00 PM,,155,1511,15,29,25,28
02/28/2015 11:09:00 PM,,139,735,7,17,67,25
03/19/2015 12:00:00 PM,,103,122,1,2,32,2
03/19/2015 01:10:00 PM,,155,2534,25,37,23,34
03/19/2015 12:25:00 PM,,96,1632,16,38,17,2
03/19/2015 11:54:00 AM,,19,1014,10,24,29,19
03/19/2015 12:30:00 PM,,152,1024,10,22,30,2
03/19/2015 12:52:00 PM,,139,2221,22,19,72,4
03/19/2015 01:30:00 PM,,19,1133,11,24,29,9
03/19/2015 11:25:00 AM,,159,932,9,16,61,33
03/13/2015 02:00:00 PM,,124,2221,22,21,73,9
03/19/2015 02:17:00 PM,,155,1113,11,28,25,19
03/18/2015 05:13:00 PM,,103,1834,18,42,8,25
03/18/2015 11:20:00 PM,,103,1834,18,42,8,26
03/18/2015 09:30:00 PM,,103,1834,18,42,8,26
03/18/2015 10:20:00 AM,,103,1834,18,42,8,26
03/18/2015 06:39:00 PM,,103,1834,18,42,8,26
03/19/2015 02:00:00 PM,,96,1913,19,46,3,33
03/19/2015 01:50:00 PM,,152,421,4,7,43,3
03/18/2015 09:00:00 AM,,25,234,2,4,41,9
03/18/2015 09:50:00 PM,,103,1834,18,42,8,26
03/19/2015 12:45:00 PM,,152,314,3,5,42,3
03/18/2015 04:00:00 PM,,103,1834,18,42,8,26
03/18/2015 04:30:00 PM,,103,1834,18,42,8,26
03/18/2015 07:20:00 PM,,103,1834,18,42,8,25
03/19/2015 08:00:00 AM,,159,1225,12,2,28,33
10/07/2014 02:00:00 PM,,139,1915,19,46,3,9
03/11/2015 09:15:00 AM,,156,1121,11,27,23,25
03/17/2015 09:30:00 AM,,159,1931,19,1,5,2
03/19/2015 02:30:00 PM,,155,121,1,42,28,33
03/19/2015 02:00:00 PM,,159,1022,10,24,29,7
03/19/2015 03:10:00 PM,,139,1122,11,28,26,25
03/19/2015 01:00:00 PM,,159,123,1,2,32,33
03/18/2015 06:00:00 PM,,159,511,5,9,49,7
03/19/2015 02:50:00 PM,,124,2512,25,36,18,33
03/15/2015 05:00:00 PM,,159,1821,18,27,8,7
03/19/2015 02:15:00 PM,,152,835,8,18,70,3
03/19/2015 02:30:00 PM,,159,221,2,4,38,19
03/05/2015 04:30:00 PM,,139,831,8,18,66,33
03/19/2015 08:11:00 AM,,161,825,8,15,66,33
03/19/2015 02:00:00 PM,,139,1911,19,47,5,9
03/18/2015 09:00:00 PM,,19,611,6,21,71,9
10/01/2014 07:00:00 AM,,124,522,5,34,53,9
03/19/2015 11:30:00 AM,,124,825,8,15,66,33
03/12/2015 04:00:00 PM,,139,623,6,6,69,25
03/19/2015 03:10:00 PM,,155,1731,17,38,16,19
03/16/2015 04:30:00 PM,,139,1122,11,28,26,33
03/19/2015 08:30:00 AM,,139,1223,12,2,28,9
03/19/2015 01:45:00 PM,,156,1824,18,42,8,25
03/19/2015 07:51:00 AM,,129,1711,17,39,13,18
03/19/2015 11:25:00 AM,,139,1133,11,24,27,19
03/18/2015 09:00:00 AM,,19,332,3,5,43,2
03/19/2015 12:40:00 PM,,156,2534,25,27,23,33
03/11/2015 09:00:00 AM,,139,334,3,7,43,9
03/19/2015 02:25:00 PM,,159,513,5,34,49,25
03/19/2015 12:55:00 PM,,139,631,6,6,44,4
03/19/2015 02:30:00 PM,,56,1811,18,32,7,8
03/18/2015 04:00:00 PM,,124,2424,24,49,1,9
03/19/2015 02:26:00 PM,,142,323,3,6,69,34
03/19/2015 03:00:00 PM,,159,2234,22,34,75,3
01/01/2015 12:01:00 AM,,139,1811,18,32,7,23
03/19/2015 03:25:00 PM,,55,1225,12,2,28,8
03/19/2015 02:25:00 PM,,152,212,2,3,35,2
03/16/2015 08:00:00 AM,,139,633,6,6,49,33
03/19/2015 01:10:00 PM,,159,1633,16,38,15,19
03/19/2015 03:15:00 PM,,139,623,6,6,69,7
03/19/2015 02:50:00 PM,,159,2222,22,21,71,7
03/19/2015 02:59:00 PM,,159,2234,22,34,75,2
03/11/2015 12:00:00 PM,,139,1913,19,46,3,9
01/02/2014 09:00:00 AM,,19,934,9,20,61,7
03/18/2015 07:00:00 PM,,155,914,9,11,34,30
03/19/2015 03:50:00 PM,,142,1133,11,24,27,19
03/19/2015 02:00:00 PM,,19,1032,10,22,30,3
03/19/2015 12:30:00 PM,,159,121,1,2,28,9
03/18/2015 04:00:00 PM,,19,2512,25,29,19,7
03/18/2015 10:00:00 PM,,159,2422,24,49,1,33
03/19/2015 03:55:00 PM,,139,911,9,12,58,2
03/19/2015 12:30:00 PM,,153,1624,16,38,15,3
03/19/2015 12:00:00 PM,,152,513,5,34,49,2
03/18/2015 01:00:00 PM,,124,1711,17,39,13,9
03/06/2015 03:30:00 PM,,96,114,1,42,32,3
03/19/2015 03:00:00 PM,,117,234,2,4,41,33
03/06/2015 08:00:00 AM,,139,1213,12,27,24,25
12/03/2014 12:00:00 PM,,139,133,1,3,35,25
03/19/2015 12:30:00 PM,,159,121,1,2,28,33
03/19/2015 02:00:00 PM,,159,1424,14,32,24,33
03/19/2015 03:26:00 PM,,129,612,6,21,71,2
03/19/2015 03:24:00 PM,,159,431,4,7,51,33
03/14/2015 04:30:00 PM,,124,511,5,9,49,9
03/19/2015 02:30:00 PM,,143,111,1,42,32,33
03/19/2015 12:55:00 AM,,163,1224,12,27,28,30
03/16/2015 08:01:00 PM,,139,1232,12,27,28,9
03/19/2015 02:00:00 PM,,159,131,1,2,33,9
03/18/2015 04:00:00 PM,,139,1235,12,25,31,25
03/19/2015 02:30:00 PM,,96,2512,25,36,19,33
03/18/2015 11:00:00 AM,,17,2512,25,36,18,33
03/19/2015 03:00:00 PM,,159,724,7,16,68,7
03/19/2015 04:00:00 PM,,124,1413,14,35,22,7
03/18/2015 03:00:00 PM,,152,725,7,15,67,33
03/19/2015 12:15:00 PM,,19,624,6,6,69,3
03/19/2015 12:20:00 PM,,155,714,7,15,67,3
03/19/2015 12:00:00 AM,,19,831,8,15,66,3
03/19/2015 08:00:00 AM,,159,735,7,17,67,23
03/19/2015 10:30:00 AM,,152,822,8,14,63,33
03/19/2015 03:46:00 PM,,139,634,6,21,49,19
03/19/2015 03:25:00 PM,,155,623,6,6,69,3
03/19/2015 04:16:00 PM,,19,723,7,17,68,3
03/19/2015 04:50:00 PM,,19,324,3,8,43,7
03/19/2015 04:23:00 PM,,13,1653,16,41,76,3
03/18/2015 12:05:00 PM,,152,314,3,5,42,3
03/19/2015 04:50:00 PM,,139,2413,24,50,2,7
02/11/2015 10:00:00 AM,,139,1523,15,28,25,2
03/19/2015 10:00:00 AM,,139,711,7,20,68,25
03/19/2015 01:30:00 PM,,25,1921,19,47,5,2
03/19/2015 10:00:00 AM,,159,122,1,2,32,33
03/18/2015 07:00:00 PM,,19,2534,25,30,20,3
02/04/2015 12:00:00 PM,,19,1021,10,24,29,9
03/19/2015 04:30:00 PM,,168,513,5,34,49,4
03/19/2015 06:00:00 AM,,19,621,6,17,71,8
03/19/2015 04:05:00 PM,,159,224,2,3,38,30
03/19/2015 03:39:00 PM,,159,224,2,3,38,19
03/18/2015 04:00:00 PM,,151,211,2,2,35,9
03/19/2015 04:09:00 PM,,155,935,9,3,37,25
09/01/2014 02:00:00 PM,,122,132,1,2,33,33
03/19/2015 04:55:00 PM,,17,224,2,3,38,3
03/19/2015 04:00:00 PM,,156,234,2,4,41,2
03/19/2015 05:00:00 PM,,143,113,1,42,32,8
03/19/2015 03:30:00 PM,,139,1111,11,37,23,7
03/19/2015 06:55:00 AM,,124,1634,16,38,15,7
03/19/2015 04:47:00 PM,,159,2535,25,26,23,3
