Time,LocationDescription,Beat,District,Ward,CommunityArea,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,PrimaryType
11,19,2223,22,21,71,0,0,0,0,0,1,0,3
8.63,139,623,6,6,44,0,0,0,0,0,0,1,25
11.83,17,2222,22,21,71,0,0,0,0,1,0,0,30
2.5,159,2513,25,36,25,0,0,0,0,1,0,0,18
10.13,95,423,4,10,46,0,0,0,0,1,0,0,3
10.25,139,611,6,17,71,0,0,0,0,1,0,0,4
17,73,632,6,6,44,0,0,0,0,0,0,1,4
13.42,155,711,7,20,68,0,1,0,0,0,0,0,30
10.33,142,715,7,15,67,0,0,0,0,1,0,0,33
15.08,152,1533,15,24,25,0,0,0,0,0,0,1,3
11.42,96,912,9,11,59,0,0,0,0,1,0,0,8
2.5,27,1832,18,42,8,0,0,0,0,1,0,0,3
11,19,931,9,20,61,0,0,0,0,1,0,0,7
3,159,1733,17,33,16,0,0,0,0,1,0,0,7
9,159,1033,10,12,30,0,0,0,0,1,0,0,33
23,159,2222,22,21,71,0,0,0,0,0,0,1,7
9.75,159,725,7,17,67,0,0,0,0,1,0,0,33
10.75,124,111,1,42,32,0,0,0,0,0,0,1,2
21,139,1633,16,38,15,0,0,0,0,0,0,1,4
18.27,139,611,6,21,71,0,0,0,0,1,0,0,19
11.45,159,421,4,7,43,0,0,0,0,1,0,0,25
12.33,92,1533,15,24,25,0,0,0,0,1,0,0,8
11.08,152,821,8,14,57,0,0,0,0,1,0,0,3
19,129,2512,25,36,18,0,0,0,0,0,0,1,33
11.45,139,833,8,13,65,0,0,0,0,1,0,0,25
11,19,832,8,15,66,0,0,0,0,1,0,0,3
11.67,19,2534,25,27,23,0,0,0,0,1,0,0,3
9.25,19,1033,10,12,30,0,0,0,0,1,0,0,3
9,19,1533,15,28,25,0,0,1,0,0,0,0,9
10.33,155,1612,16,41,10,0,0,0,0,1,0,0,3
13,152,933,9,16,61,0,0,0,0,1,0,0,2
10.25,152,1612,16,41,10,0,0,0,0,0,0,1,3
9,124,633,6,8,44,0,1,0,0,0,0,0,9
6,124,124,1,2,28,0,0,0,0,1,0,0,6
11.17,152,1812,18,43,7,0,0,0,0,1,0,0,3
18.17,16,813,8,23,56,0,0,0,0,0,1,0,19
9.33,152,1612,16,41,10,0,0,0,0,1,0,0,3
10.5,19,1115,11,28,26,0,0,0,0,1,0,0,19
10.63,156,124,1,2,28,0,0,0,0,1,0,0,33
12.25,139,1724,17,33,16,0,0,0,0,1,0,0,3
12.37,17,1121,11,27,23,0,0,0,0,1,0,0,19
12.33,92,1533,15,28,25,0,0,0,0,1,0,0,19
11.83,139,331,3,5,43,1,0,0,0,0,0,0,19
7,159,1813,18,43,7,0,1,0,0,0,0,0,33
18.5,159,232,2,20,40,0,0,0,0,1,0,0,7
10,159,1532,15,28,25,0,0,0,0,0,0,1,18
11.67,139,1031,10,22,30,0,0,0,0,1,0,0,3
12.7,155,1533,15,28,25,0,0,0,0,1,0,0,19
1,159,1713,17,39,14,0,0,0,0,0,0,1,7
5,159,2515,25,30,19,0,0,0,0,1,0,0,30
10,139,2423,24,49,1,0,0,0,0,0,1,0,9
15.63,155,1112,11,27,23,0,0,0,0,0,1,0,19
9,139,2233,22,34,49,1,0,0,0,0,0,0,9
12.33,152,314,3,5,42,0,0,0,0,1,0,0,3
10,168,1432,14,32,22,0,0,0,1,0,0,0,33
18.33,140,912,9,11,59,0,0,0,0,0,0,1,4
12.5,143,113,1,42,32,0,0,0,0,1,0,0,8
9.5,19,931,9,16,61,0,0,0,0,1,0,0,3
7,49,1423,14,26,24,0,0,0,0,1,0,0,7
1,27,1832,18,42,8,0,0,0,0,1,0,0,3
12,139,414,4,8,43,0,0,0,0,1,0,0,4
12.45,19,1121,11,27,23,0,0,0,0,1,0,0,2
9.5,139,1632,16,36,17,0,0,0,0,1,0,0,3
6.75,159,1133,11,24,27,0,1,0,0,0,0,0,33
7,159,1134,11,28,27,0,0,0,0,0,0,1,7
11.58,19,733,7,17,68,0,0,0,0,1,0,0,7
11.75,19,1122,11,27,23,0,0,0,0,1,0,0,3
17.5,101,1231,12,2,28,0,0,0,1,0,0,0,3
10.27,95,1111,11,28,23,0,0,0,0,1,0,0,3
13.5,156,2532,25,37,25,0,0,0,0,1,0,0,33
13.58,124,111,1,42,32,0,0,0,0,1,0,0,8
3,159,422,4,7,46,0,0,0,0,1,0,0,33
12.88,155,1234,12,25,31,0,0,0,0,1,0,0,2
12.08,152,1723,17,39,14,0,0,0,0,1,0,0,3
8,139,1622,16,45,11,0,0,0,0,1,0,0,23
13,156,1833,18,42,8,0,1,0,0,0,0,0,33
13,34,1434,14,32,22,0,0,0,0,1,0,0,33
10,19,1414,14,35,22,0,0,0,0,1,0,0,3
16.02,156,1833,18,42,8,0,1,0,0,0,0,0,33
9,139,215,2,3,38,1,0,0,0,0,0,0,9
11.75,141,631,6,8,44,0,0,0,0,1,0,0,8
12.42,49,133,1,2,35,0,0,0,0,1,0,0,33
12.5,139,912,9,12,59,0,0,0,0,1,0,0,7
12.08,159,612,6,21,71,0,0,0,0,1,0,0,30
17.63,155,733,7,17,68,1,0,0,0,0,0,0,19
10.33,159,114,1,42,32,0,0,0,0,1,0,0,2
12.17,103,2222,22,21,73,0,0,0,0,1,0,0,3
10.67,139,732,7,6,68,0,0,0,0,1,0,0,19
12.07,152,2232,22,21,73,0,0,0,0,1,0,0,3
10,152,933,9,16,61,0,0,0,0,1,0,0,2
8,139,815,8,14,57,0,1,0,0,0,0,0,9
11.58,152,933,9,16,61,1,0,0,0,0,0,0,3
8,139,824,8,16,66,0,0,0,0,1,0,0,9
12,19,414,4,8,43,0,0,0,0,1,0,0,3
12.63,19,1133,11,24,29,1,0,0,0,0,0,0,19
21,139,1033,10,12,30,0,0,0,0,0,0,1,9
12,159,1823,18,27,8,0,1,0,0,0,0,0,33
8.5,129,1834,18,42,8,0,1,0,0,0,0,0,33
12,139,823,8,13,65,0,0,0,0,1,0,0,3
8.75,159,1512,15,29,25,0,0,0,0,1,0,0,7
13.17,19,423,4,7,46,0,0,0,0,1,0,0,33
13.67,155,1112,11,27,23,1,0,0,0,0,0,0,19
11.08,155,224,2,3,38,0,0,0,0,1,0,0,3
15,159,1223,12,2,28,0,0,0,0,0,0,1,18
16.5,156,1931,19,32,7,0,0,0,1,0,0,0,33
13.5,156,1834,18,42,8,0,0,0,0,1,0,0,33
12.25,155,1135,11,28,29,0,0,0,0,1,0,0,3
9.6,124,1833,18,42,8,0,0,0,0,1,0,0,33
13.75,159,1814,18,43,7,0,0,0,0,1,0,0,33
13.68,155,1132,11,24,29,0,0,0,0,1,0,0,19
13.67,175,1132,11,24,29,0,0,0,0,1,0,0,19
7.5,152,113,1,2,32,0,0,0,0,1,0,0,33
13.02,155,1121,11,27,23,0,0,0,0,1,0,0,25
12.5,152,2233,22,34,49,0,0,0,0,1,0,0,2
9.5,159,133,1,3,35,0,0,0,0,1,0,0,2
9,19,412,4,8,45,0,1,0,0,0,0,0,9
13.83,175,1134,11,24,27,1,0,0,0,0,0,0,19
13.52,155,1511,15,29,25,0,0,0,0,1,0,0,28
23.15,139,735,7,17,67,0,0,1,0,0,0,0,25
12,103,122,1,2,32,0,0,0,0,1,0,0,2
13.17,155,2534,25,37,23,0,0,0,0,1,0,0,34
12.42,96,1632,16,38,17,0,0,0,0,1,0,0,2
11.9,19,1014,10,24,29,0,0,0,0,1,0,0,19
12.5,152,1024,10,22,30,0,0,0,0,1,0,0,2
12.87,139,2221,22,19,72,0,0,0,0,1,0,0,4
13.5,19,1133,11,24,29,0,0,0,0,1,0,0,9
11.42,159,932,9,16,61,0,0,0,0,1,0,0,33
14,124,2221,22,21,73,1,0,0,0,0,0,0,9
14.28,155,1113,11,28,25,0,0,0,0,1,0,0,19
17.22,103,1834,18,42,8,0,0,0,0,0,0,1,25
23.33,103,1834,18,42,8,0,0,0,0,0,0,1,26
21.5,103,1834,18,42,8,0,0,0,0,0,0,1,26
10.33,103,1834,18,42,8,0,0,0,0,0,0,1,26
18.65,103,1834,18,42,8,0,0,0,0,0,0,1,26
14,96,1913,19,46,3,0,0,0,0,1,0,0,33
13.83,152,421,4,7,43,0,0,0,0,1,0,0,3
9,25,234,2,4,41,0,0,0,0,0,0,1,9
21.83,103,1834,18,42,8,0,0,0,0,0,0,1,26
12.75,152,314,3,5,42,0,0,0,0,1,0,0,3
16,103,1834,18,42,8,0,0,0,0,0,0,1,26
16.5,103,1834,18,42,8,0,0,0,0,0,0,1,26
19.33,103,1834,18,42,8,0,0,0,0,0,0,1,25
8,159,1225,12,2,28,0,0,0,0,1,0,0,33
14,139,1915,19,46,3,0,0,0,0,0,1,0,9
9.25,156,1121,11,27,23,0,0,0,0,0,0,1,25
9.5,159,1931,19,1,5,0,0,0,0,0,1,0,2
14.5,155,121,1,42,28,0,0,0,0,1,0,0,33
14,159,1022,10,24,29,0,0,0,0,1,0,0,7
15.17,139,1122,11,28,26,0,0,0,0,1,0,0,25
13,159,123,1,2,32,0,0,0,0,1,0,0,33
18,159,511,5,9,49,0,0,0,0,0,0,1,7
14.83,124,2512,25,36,18,0,0,0,0,1,0,0,33
17,159,1821,18,27,8,0,0,0,1,0,0,0,7
14.25,152,835,8,18,70,0,0,0,0,1,0,0,3
14.5,159,221,2,4,38,0,0,0,0,1,0,0,19
16.5,139,831,8,18,66,0,0,0,0,1,0,0,33
8.18,161,825,8,15,66,0,0,0,0,1,0,0,33
14,139,1911,19,47,5,0,0,0,0,1,0,0,9
21,19,611,6,21,71,0,0,0,0,0,0,1,9
7,124,522,5,34,53,0,0,0,0,0,0,1,9
11.5,124,825,8,15,66,0,0,0,0,1,0,0,33
16,139,623,6,6,69,0,0,0,0,1,0,0,25
15.17,155,1731,17,38,16,0,0,0,0,1,0,0,19
16.5,139,1122,11,28,26,0,1,0,0,0,0,0,33
8.5,139,1223,12,2,28,0,0,0,0,1,0,0,9
13.75,156,1824,18,42,8,0,0,0,0,1,0,0,25
7.85,129,1711,17,39,13,0,0,0,0,1,0,0,18
11.42,139,1133,11,24,27,0,0,0,0,1,0,0,19
9,19,332,3,5,43,0,0,0,0,0,0,1,2
12.67,156,2534,25,27,23,0,0,0,0,1,0,0,33
9,139,334,3,7,43,0,0,0,0,0,0,1,9
